INCLUDED EQUIPMENT — YOUR COST BASIS,,,
Item,Your Cost,Source,Link
Greenmade 27-Gallon Storage Bin 8-Pack (Standard Bins),99.99,Costco,View Product ➜
"5-Tier Metal Shelving (72""H x 48""W x 24""D)",122.06,Home Depot,View Product ➜
"4-Tier Metal Shelving (72""H x 60""W x 18""D)",175.02,Home Depot,View Product ➜
"Overhead Rack — 32""D (97.5""W x 43.75""H x 32""D)",169,Home Depot,View Product ➜
"Overhead Rack — 48""D (97.5""W x 43.75""H x 48""D)",219,Home Depot,View Product ➜
"Six Bin Rack Ceiling Mounted (3""W x 2""H x 26""D)",167.95,Home Depot,View Product ➜
"Greatmats Perforated Click Floor Tile (25-Pack, 25.5 sq ft)",119.98,Home Depot,View Product ➜
"Monkey Bars 6-Bike Wall Mounted Garage Bike Rack (51""W x 4""D x 3""H)",89.98,Home Depot,View Product ➜
ClosetMaid ProGarage 4-Bike Wall Mounted Garage Bike Storage Rack,39.97,Home Depot,View Product ➜
