Feature,WARM UP,SUPER SET,1 REP MAX
Price,$997,"$1,997","$4,497"
Target Client,"""Just set it up.""","""Make it a real gym.""","""This is my sanctuary."""
Crew,2 Scholars (2-3 Hours),2 Scholars (4-5 Hours),3 Scholars (Full Day)
Equipment Assembly,Up to 2 pieces,Up to 3 pieces,Up to 5 pieces
Flooring,Not Included,Not Included,Full Garage Coverage Included
Design,Not Included,Not Included,Full Gym Design
Wall Storage,Not Included,Not Included,"Hooks, Bar Holders, Band Pegs"
Platform Build,Not Included,Not Included,Deadlift / Olympic Platform
